ingredient_id,ingredient_name,category,subcategory
108660,butter bean,nuts/seeds/grains,
109597,butter pecan,nuts/seeds/grains,
109973,buttered,other,
109724,butterfly pea extract,other,
108234,buttermilk,dairy,
108732,buttermilk fried,dairy,
109484,buttermilk ranch,dairy,
109974,butternut,other,
109063,butternut squash,vegetable,
108342,butterscotch,sweetener,
109975,béchamel sauce,other,
109222,cabbage,other,
109976,cabernet,other,
108268,cacao,nuts/seeds/grains,
109978,cacio,other,
108810,cactus,other,
109472,caesar,other,
109979,caesar dressing,other,
108166,cafe au lait,dairy,
109298,cage free,other,
108822,cajeta,sweetener,
109470,cajun,other,
108172,cake,sweetener,
109980,calabrian,other,
109981,calabrian chilli pepper,other,
108480,calamansi,fruit,
109982,calamari,other,
109983,calcium,other,
109984,caldo,other,
109985,camaron,other,
109986,campanelle,other,
109987,campari,other,
109507,canadian bacon,meat,
109204,candied,sweetener,
110437,candied bacon,other,
109595,candies,sweetener,
109412,candy,sweetener,
108809,cane juice,sweetener,
109405,cane sugar,sweetener,
109988,canned,other,
108109,cannellini bean,nuts/seeds/grains,
109760,canola oil,other,
108780,cantaloupe,fruit,
109761,capellini,other,
109762,capers,other,
109989,capicola,other,
109990,cappuccino,other,
109575,caramel,sweetener,
109529,caramelized,sweetener,
110894,caramelized banana,other,
109088,caramelized onion,other,
108260,caraway,nuts/seeds/grains,
109991,carbonara sauce,other,
108258,cardamom,other,
109175,carnita,other,
109992,carnitas,other,
108750,carob,other,
110904,carolina bbq,other,
109993,carpaccio,other,
107969,carrot,fortifier,
109763,casarecce,other,
109224,cashew,nuts/seeds/grains,
108134,cashew milk,nuts/seeds/grains,
108516,cassava,nuts/seeds/grains,
109518,catfish,other,
109227,cauliflower,other,
109288,cauliflower rice,nuts/seeds/grains,
109884,cavatappi,other,
108594,cayenne,other,
109994,cecina,other,
108524,celeriac,other,
108178,celery,other,
108226,cereal,nuts/seeds/grains,
109995,chai,other,
109996,chai latte,other,
109997,challah,other,
108187,chamomile,other,
108607,chamoy,other,
109152,champagne vinaigrette,fats/oils,
108536,chapulines,other,
109545,char grilled,other,
108823,charcoal,other,
109109,charcuterie,other,
109998,chardonnay,other,
109217,charred,other,
108653,charro bean,nuts/seeds/grains,
108520,chayote,fruit,
109394,cheddar,dairy,
108676,cheek,other,
109231,cheese,dairy,
109471,cheese sauce,dairy,
109418,cheese stick,dairy,
109273,cheesecake,dairy,
108608,chermoula,other,
109048,cherry,fruit,
109392,cherry tomato,fruit,
108859,chervil,other,
108140,chestnut,nuts/seeds/grains,
110969,chewy,other,
107963,chia,nuts/seeds/grains,
109112,chia pudding,nuts/seeds/grains,
108058,chicharron,fortifier,
110000,chicharrones,other,
110001,chicharrón,other,
900001,chicken,meat,
110441,chicken bacon,other,
109765,chicken breast,other,
108459,chicken salt,other,
109290,chicken sausage,other,
109766,chicken stock,other,
109526,chicken strip,fortifier,
109169,chicken thigh,fortifier,
109521,chicken wing,other,
109553,chickpea,nuts/seeds/grains,
115431,chickpea flour,other,
108626,chicory,other,
110002,chile,other,
110003,chiles,other,
110004,chili,other,
108811,chili crisp,fats/oils,
109141,chili lime,other,
108014,chili oil,fats/oils,
108967,chili pepper,fruit,
109767,chili powder,other,
110005,chilies,other,
110006,chilis,other,
110007,chilli pepper,other,
107996,chimichurri,other,
108489,chinese broccoli,vegetable,
110008,chip,other,
108430,chipotle,other,
109162,chipotle ranch,other,
111007,chipotle sauce,other,
110010,chips,other,
109128,chive,other,
109441,chocolate,sweetener,
109598,chocolate chip,sweetener,
109654,chocolate chunk,other,
108392,chocolate ganache,fats/oils,
108384,chocolate hazelnut,nuts/seeds/grains,
110013,chorizo,other,
110014,chorizo sausage,other,
109502,chuck,other,
108233,churro,sweetener,
108013,chutney,other,
109768,ciabatta,other,
110015,cider,other,
108431,cilantro,other,
108038,cilantro lime vinaigrette,fats/oils,
107962,cinnamon,other,
109403,cinnamon sugar,sweetener,
108525,cipollini onion,nuts/seeds/grains,
109730,citric acid,other,
108335,citrus,fruit,
109154,citrus dressing,fats/oils,
109084,clam,other,
109637,clementine,fruit,
109280,clove,other,
110017,club soda,other,
110018,cob,other,
110019,cochinita,other,
110020,cocoa,other,
107844,coconut,nuts/seeds/grains,
107891,coconut aminos,other,
108877,coconut butter,fats/oils,
107924,coconut chips,nuts/seeds/grains,
109711,coconut cream,other,
107972,coconut milk,other,
108019,coconut oil,other,
107923,coconut sugar,other,
107846,coconut water,other,
109496,cod,seafood,
109121,coffee,other,
110021,cointreau,other,
107845,cola,sweetener,
110022,cold brew,other,
111073,cold foam,other,
108213,cold press,fats/oils,
110023,cole,other,
110024,coleslaw,other,
107951,collagen,other,
107872,collard green,other,
110025,compote,other,
109332,compound butter,dairy,
109770,comté,other,
107922,condensed milk,dairy,
110027,condiment,other,
108087,confit,other,
109594,cookie,sweetener,
108341,cookie butter,nuts/seeds/grains,
107928,cookie dough,fats/oils,
109413,cookies,sweetener,
111101,cookies & cream,other,
108883,cordyceps,other,
108257,coriander,nuts/seeds/grains,
109380,corn,nuts/seeds/grains,
109440,corn nuts,nuts/seeds/grains,
110029,cornbread,other,
109508,corned beef,other,
108968,cornmeal,nuts/seeds/grains,
109772,cornstarch,other,
111114,costillas,other,
109773,cotija,other,
110030,cotija cheese,other,
